iter	Passed	Remaining
637	13234	7508
638	13250	7485
639	13265	7461
640	13283	7439
641	13299	7416
642	13317	7394
643	13337	7373
644	13358	7352
645	13378	7331
646	13392	7306
647	13409	7284
648	13427	7262
649	13444	7239
650	13462	7217
651	13480	7195
652	13500	7173
653	13517	7151
654	13534	7128
655	13552	7106
656	13571	7085
657	13590	7063
658	13610	7042
659	13628	7020
660	13644	6997
661	13661	6975
662	13678	6952
663	13697	6931
664	13710	6906
665	13723	6882
666	13739	6859
667	13757	6837
668	13774	6815
669	13792	6793
670	13810	6771
671	13828	6749
672	13846	6727
673	13864	6706
674	13881	6683
675	13894	6659
676	13909	6636
677	13930	6615
678	13949	6594
679	13963	6570
680	13981	6549
681	13999	6527
682	14018	6506
683	14038	6485
684	14056	6463
685	14075	6442
686	14094	6421
687	14114	6400
688	14133	6379
689	14153	6358
690	14173	6337
691	14191	6316
692	14209	6294
693	14227	6273
694	14246	6252
695	14262	6229
696	14281	6208
697	14301	6187
698	14317	6165
699	14335	6143
700	14357	6123
701	14372	6100
702	14390	6079
703	14407	6057
704	14425	6036
705	14445	6015
706	14463	5993
707	14482	5972
708	14501	5951
709	14519	5930
710	14537	5909
711	14555	5887
712	14573	5866
713	14590	5844
714	14607	5822
715	14624	5800
716	14641	5778
717	14658	5757
718	14676	5735
719	14693	5714
720	14711	5692
721	14729	5671
722	14746	5649
723	14767	5629
724	14784	5607
725	14801	5586
726	14828	5568
727	14849	5548
728	14872	5528
729	14896	5509
730	14911	5487
731	14929	5465
732	14948	5444
733	14968	5424
734	14991	5405
735	15010	5384
736	15030	5363
737	15048	5342
738	15069	5322
739	15083	5299
740	15097	5276
741	15115	5255
742	15132	5234
743	15149	5212
744	15169	5192
745	15203	5176
746	15224	5156
747	15245	5136
748	15264	5115
749	15284	5094
750	15303	5073
751	15322	5053
752	15340	5031
753	15361	5011
754	15380	4991
755	15398	4969
756	15416	4948
757	15433	4927
758	15452	4906
759	15469	4885
760	15487	4863
761	15506	4843
762	15525	4822
763	15542	4801
764	15560	4780
765	15577	4758
766	15596	4738
767	15615	4717
768	15644	4699
769	15674	4682
770	15690	4660
771	15705	4638
772	15721	4616
773	15741	4596
774	15761	4575
775	15777	4554
776	15796	4533
777	15816	4513
778	15836	4492
779	15855	4472
780	15873	4450
781	15892	4430
782	15908	4408
783	15926	4387
784	15946	4367
785	15967	4347
786	15985	4326
787	16003	4305
788	16019	4284
789	16036	4262
790	16056	4242
791	16074	4221
792	16091	4200
793	16108	4179
794	16125	4158
795	16139	4136
796	16156	4115
797	16173	4094
798	16191	4073
799	16208	4052
800	16225	4030
801	16242	4009
802	16260	3989
803	16275	3967
804	16294	3947
805	16313	3926
806	16334	3906
807	16355	3886
808	16372	3865
809	16391	3844
810	16407	3823
811	16424	3802
812	16441	3781
813	16462	3761
814	16480	3740
815	16492	3718
816	16505	3697
817	16520	3675
818	16539	3655
819	16557	3634
820	16576	3614
821	16592	3592
822	16615	3573
823	16631	3552
824	16648	3531
825	16666	3510
826	16679	3489
827	16695	3468
828	16712	3447
829	16728	3426
830	16747	3405
831	16762	3384
832	16780	3364
833	16800	3343
834	16817	3323
835	16831	3301
836	16848	3281
837	16864	3260
838	16882	3239
839	16901	3219
840	16919	3198
841	16935	3177
842	16948	3156
843	16966	3135
844	16982	3115
845	16997	3094
846	17010	3072
847	17024	3051
848	17039	3030
849	17056	3010
850	17072	2989
851	17091	2968
852	17107	2948
853	17125	2927
854	17142	2907
855	17163	2887
856	17181	2866
857	17197	2846
858	17216	2825
859	17234	2805
860	17252	2785
861	17270	2764
862	17288	2744
863	17305	2723
864	17322	2703
865	17340	2683
866	17358	2662
867	17377	2642
868	17395	2622
869	17412	2601
870	17429	2581
871	17448	2561
872	17466	2540
873	17482	2520
874	17499	2499
875	17516	2479
876	17534	2459
877	17551	2438
878	17569	2418
879	17586	2398
880	17604	2377
881	17624	2357
882	17640	2337
883	17661	2317
884	17679	2297
885	17696	2277
886	17714	2256
887	17731	2236
888	17749	2216
889	17769	2196
890	17788	2176
891	17804	2155
892	17821	2135
893	17837	2115
894	17856	2094
895	17874	2074
896	17890	2054
897	17908	2034
898	17927	2014
899	17944	1993
900	17964	1973
901	17986	1954
902	18004	1934
903	18024	1914
904	18044	1894
905	18062	1873
906	18081	1854
907	18099	1833
908	18116	1813
909	18133	1793
910	18150	1773
911	18169	1753
912	18186	1733
913	18205	1712
914	18224	1693
915	18243	1673
916	18261	1652
917	18279	1632
918	18298	1612
919	18318	1592
920	18336	1572
921	18356	1552
922	18377	1533
923	18396	1513
924	18417	1493
925	18434	1473
926	18452	1453
927	18473	1433
928	18492	1413
929	18511	1393
930	18531	1373
931	18550	1353
932	18567	1333
933	18587	1313
934	18605	1293
935	18624	1273
936	18644	1253
937	18662	1233
938	18680	1213
939	18698	1193
940	18718	1173
941	18735	1153
942	18756	1133
943	18775	1113
944	18794	1093
945	18813	1073
946	18831	1053
947	18849	1033
948	18868	1014
949	18886	994
950	18905	974
951	18922	954
952	18939	934
953	18957	914
954	18975	894
955	18993	874
956	19012	854
957	19031	834
958	19048	814
959	19066	794
960	19083	774
961	19101	754
962	19120	734
963	19139	714
964	19156	694
965	19174	674
966	19191	654
967	19208	634
968	19225	615
969	19243	595
970	19262	575
971	19280	555
972	19297	535
973	19315	515
974	19333	495
975	19353	475
976	19373	456
977	19390	436
978	19408	416
979	19423	396
980	19442	376
981	19459	356
982	19479	336
983	19497	317
984	19514	297
985	19532	277
986	19550	257
987	19568	237
988	19588	217
989	19605	198
990	19623	178
991	19640	158
992	19657	138
993	19674	118
994	19691	98
995	19708	79
996	19721	59
997	19738	39
998	19755	19
999	19774	0
